Data Figure 2.13b and 2.14b (3/3): Data series on personal wealth (middle 40% share);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet K1h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;Core Social-Democratic Europe (DE-DK-FR-GB-NL-NO-SE);Core Western Europe (DE-FR-GB);Core Nordic Europe (DK-NL-NO-SE);World (population-weighted);Europe (Pop. weighted);North America/ Oceania (pop.weighted);Latin America (pop.weighted);Middle East/North Africa (pop.weighted);Subsaharan Africa (pop.weighted);Russia/ Central Asia (pop.weighted);East Asia (pop.weighted);South & South-East Asia (pop.weighted);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1800;25%;16%;19%;20%;21%;20%;35%;31%;34%;12%;37%;16%;16%;4%;20%;21%;29%;19%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;28%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1801;25%;16%;19%;20%;21%;20%;35%;31%;34%;12%;37%;16%;16%;4%;20%;21%;29%;18%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;28%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1802;25%;16%;19%;20%;21%;20%;35%;31%;34%;12%;37%;16%;16%;4%;20%;21%;29%;18%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;28%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1803;25%;15%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;17%;4%;20%;21%;29%;18%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;28%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1804;24%;15%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;17%;4%;20%;21%;29%;18%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;28%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1805;24%;16%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;18%;4%;20%;21%;29%;18%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;28%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1806;24%;16%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;18%;4%;20%;21%;29%;17%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;29%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1807;24%;16%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;18%;4%;20%;21%;29%;17%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;29%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1808;24%;16%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;18%;4%;20%;21%;29%;17%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;29%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1809;24%;15%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;17%;4%;20%;21%;29%;17%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;20%;11%;26%;28%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1810;24%;15%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;17%;4%;20%;21%;29%;17%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;11%;26%;28%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1811;24%;15%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;16%;4%;20%;21%;29%;16%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;11%;26%;28%;18%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1812;24%;15%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;16%;4%;20%;21%;29%;16%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;11%;26%;28%;17%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1813;24%;15%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;15%;4%;20%;21%;29%;16%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;10%;26%;28%;17%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1814;24%;15%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;15%;4%;20%;21%;29%;16%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;10%;26%;28%;17%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1815;24%;15%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;14%;4%;20%;21%;29%;16%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;10%;26%;28%;17%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;24%;14%;18%;20%;21%;20%;35%;31%;34%;12%;37%;16%;13%;4%;20%;21%;29%;15%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;10%;26%;28%;17%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;24%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;13%;4%;20%;21%;29%;15%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;23%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;13%;4%;20%;21%;29%;15%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;23%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;14%;4%;20%;21%;29%;15%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;15%;4%;20%;21%;29%;15%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;23%;23%;23%;23%;23%;23%;23%;10%;20%;37%;29%;32%;20%;23%;26%;27%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;22%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;15%;4%;20%;21%;29%;15%;20%;23%;20%;19%;29%;30%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;23%;23%;22%;23%;22%;23%;22%;22%;23%;10%;20%;37%;29%;32%;20%;23%;26%;26%;28%;37%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;21%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;15%;4%;20%;21%;29%;15%;20%;23%;20%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;23%;26%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;21%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;15%;4%;20%;21%;29%;15%;20%;23%;20%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;23%;26%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;21%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;15%;4%;20%;21%;28%;15%;20%;23%;20%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;23%;26%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;21%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;15%;4%;20%;21%;28%;15%;20%;23%;19%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;26%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;21%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;15%;4%;20%;21%;28%;15%;20%;23%;19%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;26%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;21%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;15%;4%;20%;21%;28%;15%;20%;23%;19%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;22%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;26%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;21%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;15%;4%;20%;21%;28%;15%;20%;23%;19%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;26%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;21%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;16%;4%;20%;21%;28%;15%;20%;23%;19%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;25%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;20%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;22%;14%;18%;19%;21%;20%;35%;31%;33%;12%;37%;16%;16%;4%;20%;21%;28%;15%;20%;23%;19%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;25%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;10%;25%;28%;17%;20%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;22%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;16%;4%;20%;21%;28%;15%;20%;23%;19%;19%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;25%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;11%;25%;28%;17%;20%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;21%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;16%;4%;20%;21%;28%;15%;20%;23%;19%;20%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;25%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;11%;25%;28%;17%;20%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;21%;14%;18%;20%;21%;20%;35%;31%;33%;12%;37%;16%;17%;4%;20%;21%;28%;15%;20%;23%;19%;20%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;25%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;11%;25%;28%;17%;20%;21%;21%;21%;34%;31%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;21%;14%;17%;20%;21%;20%;35%;31%;32%;12%;37%;16%;17%;4%;20%;21%;28%;15%;20%;23%;18%;20%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;25%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;11%;25%;28%;17%;20%;21%;21%;21%;34%;30%;34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;21%;14%;17%;20%;21%;20%;35%;31%;32%;12%;37%;16%;17%;4%;20%;21%;28%;15%;20%;23%;18%;20%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;25%;26%;28%;36%;36%;28%;28%;28%;28%;28%;28%;19%;11%;25%;28%;17%;20%;20%;21%;21%;34%;30%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;21%;14%;17%;20%;21%;20%;35%;31%;32%;11%;37%;16%;17%;4%;20%;21%;28%;15%;20%;23%;18%;20%;29%;29%;28%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;25%;26%;27%;36%;36%;27%;27%;27%;27%;27%;27%;19%;11%;25%;28%;17%;20%;20%;21%;21%;34%;30%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;21%;14%;17%;20%;21%;20%;35%;31%;32%;11%;37%;16%;18%;4%;20%;21%;28%;15%;20%;23%;18%;20%;29%;29%;27%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;32%;20%;22%;25%;26%;27%;36%;36%;27%;27%;27%;27%;27%;27%;19%;11%;25%;28%;17%;19%;20%;21%;21%;34%;30%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;21%;14%;17%;20%;21%;20%;35%;30%;32%;11%;37%;15%;17%;4%;20%;20%;28%;15%;20%;23%;18%;20%;29%;29%;27%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;31%;20%;22%;25%;26%;27%;36%;36%;27%;27%;27%;27%;27%;27%;19%;11%;25%;28%;17%;19%;20%;21%;21%;34%;30%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;21%;14%;17%;20%;20%;20%;35%;30%;32%;11%;36%;15%;16%;4%;20%;20%;28%;15%;20%;23%;18%;20%;29%;29%;27%;24%;20%;24%;20%;20%;20%;22%;21%;20%;22%;22%;22%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;31%;20%;22%;25%;25%;27%;36%;36%;27%;27%;27%;27%;27%;27%;19%;10%;25%;27%;17%;19%;20%;21%;21%;34%;30%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;21%;14%;17%;20%;20%;20%;35%;30%;32%;11%;36%;15%;16%;4%;20%;20%;28%;15%;20%;23%;18%;20%;29%;29%;27%;24%;20%;24%;20%;20%;20%;21%;21%;20%;21%;21%;21%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;31%;20%;22%;25%;25%;27%;35%;36%;27%;27%;27%;27%;27%;27%;19%;10%;25%;27%;17%;19%;20%;21%;21%;34%;30%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;20%;14%;17%;20%;20%;20%;35%;30%;32%;11%;36%;15%;15%;4%;20%;20%;28%;15%;20%;23%;18%;20%;28%;29%;27%;24%;20%;24%;20%;20%;20%;21%;21%;20%;21%;21%;21%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;31%;20%;22%;25%;25%;27%;35%;36%;27%;27%;27%;27%;27%;27%;19%;10%;25%;27%;17%;19%;20%;21%;21%;34%;30%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;20%;13%;17%;20%;20%;20%;35%;30%;32%;11%;36%;15%;14%;4%;20%;20%;28%;15%;20%;23%;18%;20%;28%;29%;27%;24%;20%;24%;20%;20%;20%;21%;21%;20%;21%;21%;21%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;31%;20%;22%;25%;25%;27%;35%;36%;27%;27%;27%;27%;27%;27%;18%;10%;25%;27%;17%;19%;20%;21%;21%;34%;30%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;20%;13%;17%;20%;20%;20%;35%;30%;32%;11%;36%;15%;14%;4%;20%;20%;28%;15%;20%;23%;18%;20%;28%;29%;27%;24%;20%;24%;20%;20%;20%;21%;21%;20%;21%;21%;21%;20%;20%;22%;22%;22%;22%;22%;22%;22%;22%;22%;10%;20%;37%;29%;31%;20%;22%;25%;25%;27%;35%;36%;27%;27%;27%;27%;27%;27%;18%;10%;25%;27%;16%;19%;20%;21%;21%;34%;30%;33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
